Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
 3265   Leucippus fallax             Buffy Hummingbird               Ockrabröstad kolibri
 3266   Leucippus baeri            Tumbes Hummingbird             Tumbeskolibri
 3267   Leucippus taczanowskii     Spot-throated Hummingbird      Fläckstrupekolibri
 3268   Leucippus chlorocercus     Olive-spotted Hummingbird      Olivkolibri
 3269   Taphrospilus hypostictus   Many-spotted Hummingbird       Mångfläckig kolibri
 3270   Amazilia chionogaster      White-bellied Hummingbird      Vitbukad kolibri
 3271   Amazilia viridicauda       Green-and-white Hummingbird    Cuzcosmaragd
 3272   Amazilia candida           White-bellied Emerald          Vitbröstad smaragd
 3273   Amazilia brevirostris      White-chested Emerald          Kortnäbbad smaragd
 3274   Amazilia versicolor        Versicolored Emerald           Brokig smaragd
 3275   Amazilia rondoniae         Rondonia Emerald               Rondoniasmaragd
 3276   Amazilia luciae            Honduran Emerald               Hondurassmaragd
 3277   Amazilia fimbriata         Glittering-throated Emerald    Glitterstrupsmaragd
 3278   Amazilia lactea            Sapphire-splangled Emerald     Violettstrupsmaragd
 3279   Amazilia amabilis          Blue-chested Hummingbird       Blåbröstad smaragd
 3280   Amazilia decora            Beryl-crowned Hummingbird      Costa Ricasmaragd
 3281   Amazilia rosenbergi        Purple-chested Hummingbird     Purpurbröstad smaragd
 3282   Amazilia boucardi          Mangrove Hummingbird           Mangrovekolibri
 3283   Amazilia franciae          Andean Emerald                 Andinsk smaragd
 3284   Amazilia leucogaster       Plain-bellied Emerald          Ljusbukad smaragd
 3285   Amazilia cyanocephala      Azure-crowned Hummingbird      Azurkronad smaragd
 3286   Amazilia cyanifrons        Indigo-capped Hummingbird      Indigokronad smaragd
 3287   Amazilia beryllina         Berylline Hummingbird          Beryllkolibri
 3288   Amazilia cyanura           Blue-tailed Hummingbird        Blåstjärtskolibri
 3289   Amazilia saucerrottei      Steely-vented Hummingbird      Stålbukskolibri
 3290   Amazilia tobaci            Copper-rumped Hummingbird      Koppargumpad smaragd
 3291   Amazilia viridigaster      Green-bellied Hummingbird      Gröbukad smaragd
 3292   Amazilia cupreicauda       Copper-tailed Hummingbird      Kopparstjärtad smaragd
 3293   Amazilia edward            Snowy-bellied Hummingbird      Bronsstjärtad smaragd
 3294   Amazilia rutila            Cinnamon Hummingbird           Kanelkolibri
 3295   Amazilia yucatanensis      Buff-bellied Hummingbird       Beigebukad kolibri
 3296   Amazilia tzacatl           Rufous-tailed Hummingbird      Roststjärtad kolibri
 3297   Amazilia castaneiventris   Chestnut-bellied Hummingbird   Kastanjebukad kolibri
 3298   Amazilia amazilia          Amazilia Hummingbird           Amaziliasmaragd
 3299   Amazilia viridifrons        Green-fronted Hummingbird       Grönpannad smaragd
 3300   Amazilia violiceps          Violet-crowned Hummingbird      Vitbröstad kolibri
 3301   Amazilia alticola           Loja Hummingbird                Lojakolibri
 3302   Eupherusa poliocerca        White-tailed Hummingbird        Gråstjärtad kolibri
 3303   Eupherusa eximia            Stripe-tailed Hummingbird       Strimstjärtad kolibri
 3304   Eupherusa cyanophrys        Blue-capped Hummingbird         Blåkronad kolibri
 3305   Eupherusa nigriventris      Black-bellied Hummingbird       Svartbukad kolibri
 3306   Elvira chionura             White-tailed Emerald            Vitstjärtad smaragd
 3307   Elvira cupreiceps           Coppery-headed Emerald          Kopparhuvad smaragd
 3308   Microchera albocoronata     Snowcap                         Snöhätta
 3309   Chalybura buffonii          White-vented Plumeleteer        Silkeskolibri
 3310   Chalybura urochrysia        Bronze-tailed Plumeleteer       Bronsstjärtskolibri
 3311   Aphantochroa cirrochloris   Sombre Hummingbird              Sorgkolibri
 3312   Lampornis clemenciae        Blue-throated Hummingbird       Blåstrupig kolibri
 3313   Lampornis amethystinus      Amethyst-throated Hummingbird   Ametiststrupig bergsjuvel
 3314   Lampornis viridipallens     Green-throated Mountain-gem     Grönstrupig bergsjuvel
 3315   Lampornis sybillae          Green-breasted Mountain-gem     Grönbröstad bergsjuvel
 3316   Lampornis hemileucus        White-bellied Mountain-gem      Vitbukad bergsjuvel
 3317   Lampornis castaneoventris   White-throated Mountain-gem     Vitstrupig bergsjuvel
 3318   Lampornis calolaemus        Purple-throated Mountain-gem    Purpurstrupig bergsjuvel
 3319   Lampornis cinereicaudus     Grey-tailed Mountain-gem        Gråstjärtad bergsjuvel
 3320   Lamprolaima rhami           Garnet-throated Hummingbird     Granatstrupig kolibri
 3321   Adelomyia melanogenys       Speckled Hummingbird            Fläckkolibri
 3322   Anthocephala floriceps      Blossomcrown                    Blomhätta
 3323   Urosticte benjamini         Purple-bibbed Whitetip          Purpurbröstad kolibri
 3324   Urosticte ruficrissa        Rufous-vented Whitetip          Rostgumpskolibri
 3325   Phlogophilus hemileucurus   Ecuadorian Piedtail             Ecuadorbrokstjärt
 3326   Phlogophilus harterti       Peruvian Piedtail               Perubrokstjärt
 3327   Clytolaema rubricauda       Brazilian Ruby                  Brasiliansk rubinstrupe
 3328   Heliodoxa aurescens         Gould's Jewelfront              Kanelbröstad briljant
 3329   Heliodoxa rubinoides        Fawn-breasted Brilliant         Lilastrupig briljant
 3330   Heliodoxa leadbeateri       Violet-fronted Brilliant        Violettpannad briljant
 3331   Heliodoxa jacula            Green-crowned Brilliant         Grönkronad briljant
 3332   Heliodoxa xanthogonys        Velvet-browed Brilliant       Tepuibriljant
 3333   Heliodoxa schreibersii       Black-throated Brilliant      Svartstrupig briljant
 3334   Heliodoxa gularis            Pink-throated Brilliant       Napobriljant
 3335   Heliodoxa branickii          Rufus-Webbed Brilliant        Yungasbriljant
 3336   Heliodoxa imperatrix         Empress Brilliant             Chocóbriljant
 3337   Eugenes fulgens              Magnificent Hummingbird       Rivolikolibri
 3338   Hylonympha macrocerca        Scissor-tailed Hummingbird    Saxstjärtskolibri
 3339   Sternoclyta cyanopectus      Violet-chested Hummingbird    Violbröstad kolibri
 3340   Topaza pella                 Crimson Topaz                 Karmosintopas
 3341   Topaza pyra                  Fiery Topaz                   Flamtopas
 3342   Oreotrochilus melanogaster   Black-breasted Hillstar       Svartbröstad bergsstjärna
 3343   Oreotrochilus estella        Andean Hillstar               Andinsk bergsstjärna
 3344   Oreotrochilus chimborazo     Ecuadorian Hillstar           Ecuadorbergsstjärna
 3345   Oreotrochilus leucopleurus   White-sided Hillstar          Blåbukad bergsstjärna
 3346   Oreotrochilus adela          Wedge-tailed Hillstar         Spetsstjärtad bergsstjärna
 3347   Urochroa bougueri            White-tailed Hillstar         Vitstjärtad bergsstjärna
 3348   Patagona gigas               Giant Hummingbird             Jättekolibri
 3349   Aglaeactis cupripennis       Shining Sunbeam               Regnbågsglansrygg
 3350   Aglaeactis aliciae           Purple-backed Sunbeam         Purpurglansrygg
 3351   Aglaeactis castelnaudii      White-tufted Sunbeam          Magentaglansrygg
 3352   Aglaeactis pamela            Black-hooded Sunbeam          Malakitglansrygg
 3353   Lafresnaya lafresnayi        Mountain Velvetbreast         Sammetsbröstad kolibri
 3354   Pterophanes cyanopterus      Great Sapphirewing            Safirvinge
 3355   Coeligena coeligena          Bronzy Inca                   Bronsinka
 3356   Coeligena wilsoni            Brown Inca                    Brun inka
 3357   Coeligena prunellei          Black Inca                    Svart inka
 3358   Coeligena torquata           Collared Inca                 Brunkragad inka
 3359   Coeligena inca               Gould's Inca                  Goulds inka
 3360   Coeligena phalerata          White-tailed Starfrontlet     Vitstjärtad inka
 3361   Coeligena bonapartei         Golden-bellied Starfrontlet   Gyllenbukad inka
 3362   Coeligena eos                Golden Starfrontlet           Guldinka
 3363   Coeligena helianthea         Blue-throated Starfrontlet    Blåstrupig inka
 3364   Coeligena lutetiae           Buff-winged Starfrontlet      Opalvingeinka
 3365   Coeligena violifer            Violet-throated Starfrontlet   Violettstrupig inka
 3366   Coeligena iris                Rainbow Starfrontlet           Regnbågsinka
 3367   Ensifera ensifera             Sword-billed Hummingbird       Svärdnäbb
 3368   Sephanoides sephaniodes       Green-backed Firecrown         Eldkronekolibri
 3369   Sephanoides fernandensis      Juan Fernández Firecrown       Juan Fernandezkolibri
 3370   Boissonneaua flavescens       Buff-tailed Coronet            Ockrastjärtad kolibri
 3371   Boissonneaua matthewsii       Chestnut-breasted Coronet      Kastanjebröstad kolibri
 3372   Boissonneaua jardini          Velvet-purple Coronet          Hyacintkolibri
 3373   Heliangelus mavors            Orange-throated Sunangel       Gyllensolängel
 3374   Heliangelus clarisse          Longuemare's Sunangel          Rosastrupig solängel
 3375   Heliangelus amethysticollis   Amethyst-throated Sunangel     Ametistsolängel
 3376   Heliangelus strophianus       Gorgeted Sunangel              Kragsolängel
 3377   Heliangelus regalis           Royal Sunangel                 Kungssolängel
 3378   Heliangelus exortis           Tourmaline Sunangel            Turmalinsolängel
 3379   Heliangelus micraster         Little Sunangel                Mindre solängel
 3380   Heliangelus viola             Purple-throated Sunangel       Purpurstrupig solängel
 3381   Eriocnemis nigrivestis        Black-breasted Puffleg         Pichinchatofsbena
 3382   Eriocnemis vestita            Glowing Puffleg                Glittertofsbena
 3383   Eriocnemis cupreoventris      Coppery-bellied Puffleg        Kopparbukad tofsbena
 3384   Eriocnemis luciani            Sapphire-vented Puffleg        Kilstjärtad tofsbena
 3385   Eriocnemis sapphiropygia      Coppery-naped Puffleg          Kopparnackad tofsbena
 3386   Eriocnemis mosquera           Golden-breasted Puffleg        Gyllenbröstad tofsbena
 3387   Eriocnemis glaucopoides       Blue-capped Puffleg            Blåpannad tofsbena
 3388   Eriocnemis mirabilis          Colourful Puffleg              Prakttofsbena
 3389   Eriocnemis alinae             Emerald-bellied Puffleg        Smaragdtofsbena
 3390   Eriocnemis derbyi             Black-thighed Puffleg          Svarttofsbena
 3391   Haplophaedia aureliae         Greenish Puffleg               Bronstofsbena
 3392   Haplophaedia assimilis        Buff-thighed Puffleg           Quechuatofsbena
 3393   Haplophaedia lugens           Hoary Puffleg                  Mörk tofsbena
 3394   Ocreatus underwoodii          Booted Racket-tail             Flaggsylf
 3395   Lesbia victoriae              Black-tailed Trainbearer       Svartstjärtad släpsylf
 3396   Lesbia nuna                   Green-tailed Trainbearer       Grönstjärtad släpsylf
 3397   Sappho sparganura             Red-tailed Comet               Sappfokomet
 3398   Polyonymus caroli            Bronze-tailed Comet         Bronsstjärtskomet
 3399   Ramphomicron microrhynchum   Purple-backed Thornbill     Purpurryggad nålnäbb
 3400   Ramphomicron dorsale         Black-backed Thornbill      Svartryggad nålnäbb
 3401   Metallura phoebe             Black Metaltail             Svart glansstjärt
 3402   Metallura theresiae          Coppery Metaltail           Kopparglansstjärt
 3403   Metallura aeneocauda         Scaled Metaltail            Fjällig glansstjärt
 3404   Metallura baroni             Violet-throated Metaltail   Violettstrupig glansstjärt
 3405   Metallura eupogon            Fire-throated Metaltail     Eldstrupig glansstjärt
 3406   Metallura odomae             Neblina Metaltail           Neblinaglansstjärt
 3407   Metallura williami           Viridian Metaltail          Grön glansstjärt
 3408   Metallura tyrianthina        Tyrian Metaltail            Smaragdstrupig glansstjärt
 3409   Metallura iracunda           Perija Metaltail            Perijaglansstjärt
 3410   Chalcostigma ruficeps        Rufous-capped Thornbill     Rostkronad nålnäbb
 3411   Chalcostigma olivaceum       Olivaceous Thornbill        Olivnålnäbb
 3412   Chalcostigma stanleyi        Blue-mantled Thornbill      Blåryggad nålnäbb
 3413   Chalcostigma heteropogon     Bronze-tailed Thornbill     Bronsstjärtad nålnäbb
 3414   Chalcostigma herrani         Rainbow-bearded Thornbill   Regnbågsnålnäbb
 3415   Oxypogon guerinii            Bearded Helmetcrest         Hjälmkolibri
 3416   Opisthoprora euryptera       Mountain Avocetbill         Skärfläckskolibri
 3417   Taphrolesbia griseiventris   Grey-breasted Comet         Gråbukad komet
 3418   Aglaiocercus kingi           Long-tailed Sylph           Grönstjärtad sylf
 3419   Aglaiocercus berlepschi      Venezuelan Sylph            Venezuelasylf
 3420   Aglaiocercus coelestis       Violet-tailed Sylph         Violettstjärtad sylf
 3421   Oreonympha nobilis           Bearded Mountaineer         Bergskolibri
 3422   Augastes scutatus            Hyacinth Visorbearer        Hyacintvisirbärare
 3423   Augastes lumachella          Hooded Visorbearer          Hättvisirbärare
 3424   Augastes geoffroyi           Wedge-billed Hummingbird    Geoffroys kilnäbb
 3425   Heliothryx barroti           Purple-crowned Fairy        Purpurkronad blomnymf
 3426   Heliothryx auritus           Black-eared Fairy           Svartkindad blomnymf
 3427   Heliactin bilophus           Horned Sungem               Hornkolibri
 3428   Loddigesia mirabilis         Marvellous Spatuletail      Spatelstjärt
 3429   Heliomaster constantii       Plain-capped Starthroat     Brunhättad stjärnkolibri
 3430   Heliomaster longirostris     Long-billed Starthroat      Långnäbbad stjärnkolibri
 3431   Heliomaster squamosus      Stripe-breasted Starthroat     Gön stjärnkolibri
 3432   Heliomaster furcifer       Blue-tufted Starthroat         Blå stjärnkolibri
 3433   Rhodopis vesper            Oasis Hummingbird              Oaskolibri
 3434   Thaumastura cora           Peruvian Sheartail             Corakolibri
 3435   Calliphlox evelynae        Bahama Woodstar                Bahamakolibri
 3436   Calliphlox bryantae        Magenta-throated Woodstar      Magentakolibri
 3437   Calliphlox mitchellii      Purple-throated Woodstar       Purpurstrupig skogsjuvel
 3438   Calliphlox amethystina     Amethyst Woodstar              Ametistskogsjuvel
 3439   Doricha enicura            Slender Sheartail              Guatemalasaxstjärt
 3440   Doricha eliza              Mexican Sheartail              Yucatansaxstjärt
 3441   Tilmatura dupontii         Sparkling-tailed Hummingbird   Glitterstjärtkolibri
 3442   Microstilbon burmeisteri   Slender-tailed Woodstar        Smalstjärtad skogsjuvel
 3443   Calothorax lucifer         Lucifer Hummingbird            Luciferkolibri
 3444   Calothorax pulcher         Beautiful Hummingbird          Praktskogsjuvel
 3445   Archilochus colubris       Ruby-throated Hummingbird      Rubinkolibri
 3446   Archilochus alexandri      Black-chinned Hummingbird      Svarthakad kolibri
 3447   Mellisuga minima           Vervain Hummingbird            Fékolibri
 3448   Mellisuga helenae          Bee Hummingbird                Bikolibri
 3449   Calypte anna               Anna's Hummingbird             Annas kolibri
 3450   Calypte costae             Costa's Hummingbird            Costas kolibri
 3451   Stellula calliope          Calliope Hummingbird           Kalliopekolibri
 3452   Atthis heloisa             Bumblebee Hummingbird          Humlekolibri
 3453   Atthis ellioti             Wine-throated Hummingbird      Centralamerikansk humlekolibri
 3454   Myrtis fanny               Purple-collared Woodstar       Purpurstrupig skogsstjärna
 3455   Eulidia yarrellii          Chilean Woodstar               Chilensk skogsstjärna
 3456   Myrmia micrura             Short-tailed Woodstar          Kortstjärtad skogsstjärna
 3457   Chaetocercus mulsant       White-bellied Woodstar         Vitbukad skogsstjärna
 3458   Chaetocercus bombus        Little Woodstar                Brunbröstad skogsstjärna
 3459   Chaetocercus heliodor      Gorgeted Woodstar              Kragskogsstjärna
 3460   Chaetocercus astreans      Santa Marta Woodstar           Santa Martaskogsstjärna
 3461   Chaetocercus berlepschi    Esmeraldas Woodstar            Esmeraldasskogsstjärna
 3462   Chaetocercus jourdanii     Rufous-shafted Woodstar        Rödspolig skogsstjärna
 3463   Selasphorus platycercus    Broad-tailed Hummingbird       Bredstjärtad kolibri
 3464   Selasphorus   rufus       Rufous Hummingbird              Rostkolibri
 3465   Selasphorus   sasin       Allen's Hummingbird             Allens kolibri
 3466   Selasphorus   flammula    Volcano Hummingbird             Vulkankolibri
 3467   Selasphorus   ardens      Glow-throated Hummingbird       Glödhakekolibri
 3468   Selasphorus   scintilla   Scintillant Hummingbird         Glitterkolibri
 3469                             Coliidae, Musfåglar
 3470   Colius striatus           Speckled Mousebird              Vitkindad musfågel
 3471   Colius castanotus         Red-backed Mousebird            Rödryggad musfågel
 3472   Colius colius             White-backed Mousebird          Vitryggad musfågel
 3473   Colius leucocephalus      White-headed Mousebird          Vithuvad musfågel
 3474   Urocolius indicus         Red-faced Mousebird             Rödtyglad musfågel
 3475   Urocolius macrourus       Blue-naped Mousebird            Blånackad musfågel
 3476                             Trogonidae, Trogoner
 3477   Pharomachrus mocinno      Resplendent Quetzal             Praktquetzal
 3478   Pharomachrus antisianus   Crested Quetzal                 Tofsquetzal
 3479   Pharomachrus fulgidus     White-tipped Quetzal            Glansquetzal
 3480   Pharomachrus auriceps     Golden-headed Quetzal           Guldhuvad quetzal
 3481   Pharomachrus pavoninus    Pavonine Quetzal                Påfågelquetzal
 3482   Euptilotis neoxenus       Eared Trogon                    Örontrogon
 3483   Priotelus temnurus        Cuban Trogon                    Kubatrogon
 3484   Priotelus roseigaster     Hispaniolan Trogon              Haititrogon
 3485   Trogon massena            Slaty-tailed Trogon             Massenatrogon
 3486   Trogon clathratus         Lattice-tailed Trogon           Costaricatrogon
 3487   Trogon melanurus          Black-tailed Trogon             Svartstjärtad trogon
 3488   Trogon mesurus            Ecuadorian Trogon               Ecuadortrogon
 3489   Trogon comptus            White-eyed Trogon               Blåstjärtad trogon
 3490   Trogon viridis            Amazonian White-tailed Trogon   Östlig vitstjärttrogon
 3491   Trogon chionurus          Western White-tailed Trogon     Västlig vitstjärttrogon
 3492   Trogon bairdii            Baird's Trogon                  Bairdtrogon
 3493   Trogon citreolus          Citreoline Trogon               Citrontrogon
 3494   Trogon melanocephalus     Black-headed Trogon             Svarthuvad trogon
 3495   Trogon mexicanus          Mountain Trogon                 Bergstrogon
 3496   Trogon elegans            Elegant Trogon                  Kopparstjärtstrogon
 3497   Trogon collaris             Collared Trogon               Halsbandstrogon
 3498   Trogon aurantiiventris      Orange-bellied Trogon         Orangebukad trogon
 3499   Trogon personatus           Masked Trogon                 Svartmaskad trogon
 3500   Trogon rufus                Black-throated Trogon         Svartstrupig trogon
 3501   Trogon surrucura            Surucua Trogon                Surucuatrogon
 3502   Trogon curucui              Blue-crowned Trogon           Blåkronad trogon
 3503   Trogon violaceus            Amazonian Violaceous Trogon   Violetthuvad trogon
 3504   Trogon caligatus            Northern Violaceous Trogon    Nordlig Violetthuvad trogon
 3505   Apaloderma narina           Narina's Trogon               Narinatrogon
 3506   Apaloderma aequatoriale     Bare-cheeked Trogon           Gulkindad trogon
 3507   Apaloderma vittatum         Bar-tailed Trogon             Bandtrogon
 3508   Apalharpactes reinwardtii   Javan Trogon                  Javatrogon
 3509   Apalharpactes mackloti      Sumatran Trogon               Sumatratrogon
 3510   Harpactes fasciatus         Malabar Trogon                Malabartrogon
 3511   Harpactes kasumba           Red-naped Trogon              Rödnackad trogon
 3512   Harpactes diardii           Diard's Trogon                Diardtrogon
 3513   Harpactes ardens            Philippine Trogon             Filippinsk trogon
 3514   Harpactes whiteheadi        Whitehead's Trogon            Whiteheads trogon
 3515   Harpactes orrhophaeus       Cinnamon-rumped Trogon        Kaneltrogon
 3516   Harpactes duvaucelii        Scarlet-rumped Trogon         Rödgumpad trogon
 3517   Harpactes oreskios          Orange-breasted Trogon        Orangebröstad trogon
 3518   Harpactes erythrocephalus   Red-headed Trogon             Rödhuvad trogon
 3519   Harpactes wardi             Ward's Trogon                 Wards trogon
 3520                               Alcedinidae, Kungsfiskare
 3521   Megaceryle lugubris         Crested Kingfisher            Större gråfiskare
 3522   Megaceryle maxima           Giant Kingfisher              Jättekungsfiskare
 3523   Megaceryle torquata         Ringed Kingfisher             Ringkungsfiskare
 3524   Megaceryle alcyon           Belted Kingfisher             Bälteskungsfiskare
 3525   Ceryle rudis                Pied Kingfisher               Gråfiskare
 3526   Chloroceryle amazona        Amazon Kingfisher             Amazonkungsfiskare
 3527   Chloroceryle americana      Green Kingfisher              Grön kungsfiskare
 3528   Chloroceryle inda           Green-and-rufous Kingfisher   Rödgrön kungsfiskare
 3529   Chloroceryle aenea          American Pygmy Kingfisher     Amerikansk pygmékungsfiskare
 3530   Alcedo hercules             Blyth's Kingfisher               Herkuleskungsfiskare
 3531   Alcedo atthis               Common Kingfisher                Kungsfiskare
 3532   Alcedo semitorquata         Half-collared Kingfisher         Kragkungsfiskare
 3533   Alcedo meninting            Blue-eared Kingfisher            Menintingkungsfiskare
 3534   Alcedo quadribrachys        Shining-blue Kingfisher          Blåryggad kungsfiskare
 3535   Alcedo euryzona             Blue-banded Kingfisher           Blåbandad kungsfiskare
 3536   Alcedo coerulescens         Small Blue Kingfisher            Indonesisk kungsfiskare
 3537   Alcedo thomensis            São Tomé Kingfisher              São Tomékungsfiskare
 3538   Alcedo cristata             Malachite Kingfisher             Malakitkungsfiskare
 3539   Alcedo vintsioides          Malagasy Kingfisher              Madagaskarkungsfiskare
 3540   Alcedo leucogaster          White-bellied Kingfisher         Vitbukad kungsfiskare
 3541   Alcedo nais                 Principe Kingfisher              Principekungsfiskare
 3542   Alcedo cyanopectus          Indigo-banded Kingfisher         Indigokungsfiskare
 3543   Alcedo argentata            Silvery Kingfisher               Silverkungsfiskare
 3544   Alcedo azurea               Azure Kingfisher                 Azurkungsfiskare
 3545   Alcedo websteri             Bismarck Kingfisher              Dvärgkungsfiskare
 3546   Alcedo pusilla              Little Kingfisher                Australisk dvärgskungsfiskare
 3547   Ceyx lecontei               Dwarf Kingfisher                 Svartpannad pygmékungsfiskare
 3548   Ceyx lepidus                Variable Dwarf-Kingfisher        Variabel kungsfiskare
 3549   Ceyx madagascariensis       Madagascar Pygmy-Kingfisher      Rostfärgad pygmékungsfiskare
 3550   Ceyx pictus                 African Pygmy-Kingfisher         Afrikansk pygmékungsfiskare
 3551   Ceyx erithaca               Oriental Dwarf-Kingfisher        Orientalisk dvärgkungsfiskare
 3552   Ceyx rufidorsa              Rufous-backed Dwarf-Kingfisher   Rostryggad dvärgkungsfiskare
 3553   Ceyx melanurus              Philippine Dwarf-Kingfisher      Filippinsk dvärgkungsfiskare
 3554   Ceyx fallax                 Sulawesi Dwarf-Kingfisher        Sulawesikungsfiskare
 3555   Pelargopsis amauroptera     Brown-winged Kingfisher          Brunvingad kungsfiskare
 3556   Pelargopsis capensis        Stork-billed Kingfisher          Storknäbbskungsfiskare
 3557   Pelargopsis melanorhyncha   Great-billed Kingfisher          Gråryggad kungsfiskare
 3558   Lacedo pulchella            Banded Kingfisher                Bandad kungsfiskare
 3559   Dacelo novaeguineae         Laughing Kookaburra              Kookaburra
 3560   Dacelo leachii              Blue-winged Kookaburra           Blåvingad kookaburra
 3561   Dacelo tyro                 Spangled Kookaburra              Glanskookaburra
 3562   Dacelo gaudichaud           Rufous-bellied Kookaburra        Vitnäbbad kookaburra
 3563   Clytoceyx rex                Shovel-billed Kookaburra      Skovelnäbbskookaburra
 3564   Melidora macrorrhina         Hook-billed Kingfisher        Haknäbbskungsfiskare
 3565   Cittura cyanotis             Lilac-cheeked Kingfisher      Maskkungsfiskare
 3566   Halcyon coromanda            Ruddy Kingfisher              Rostkungsfiskare
 3567   Halcyon badia                Chocolate-backed Kingfisher   Mindre smyrnakungsfiskare
 3568   Halcyon smyrnensis           White-throated Kingfisher     Smyrnakungsfiskare
 3569   Halcyon pileata              Black-capped Kingfisher       Svarthuvad kungsfiskare
 3570   Halcyon cyanoventris         Javan Kingfisher              Javakungsfiskare
 3571   Halcyon leucocephala         Grey-headed Kingfisher        Gråhuvad kungsfiskare
 3572   Halcyon senegalensis         Woodland Kingfisher           Savannkungsfiskare
 3573   Halcyon senegaloides         Mangrove Kingfisher           Mangrovekungsfiskare
 3574   Halcyon malimbica            Blue-breasted Kingfisher      Blåbröstad kungsfiskare
 3575   Halcyon albiventris          Brown-hooded Kingfisher       Brunhuvad kungsfiskare
 3576   Halcyon chelicuti            Striped Kingfisher            Strimkungsfiskare
 3577   Todiramphus nigrocyaneus     Blue-black Kingfisher         Nya Guineakungsfiskare
 3578   Todiramphus winchelli        Rufous-lored Kingfisher       Winchells kungsfiskare
 3579   Todiramphus diops            Moluccan Kingfisher           Moluckkungsfiskare
 3580   Todiramphus lazuli           Lazuli Kingfisher             Lazulikungsfiskare
 3581   Todiramphus macleayii        Forest Kingfisher             Skogskungsfiskare
 3582   Todiramphus albonotatus      White-backed Kingfisher       Vitryggad kungsfiskare
 3583   Todiramphus leucopygius      Ultramarine Kingfisher        Vithalsad kungsfiskare
 3584   Todiramphus farquhari        Chestnut-bellied Kingfisher   Vanuatukungsfiskare
 3585   Todiramphus pyrrhopygius     Red-backed Kingfisher         Rostgumpad kungsfiskare
 3586   Todiramphus australasia      Timor Kingfisher              Timorkungsfiskare
 3587   Todiramphus sanctus          Sacred Kingfisher             Inlandskungsfiskare
 3588   Todiramphus cinnamominus     Micronesian Kingfisher        Mikronesisk kungsfiskare
 3589   Todiramphus funebris         Sombre Kingfisher             Halmaherakungsfiskare
 3590   Todiramphus chloris          Collared Kingfisher           Halsbandskungsfiskare
 3591   Todiramphus enigma           Talaud Kingfisher             Talaudkungsfiskare
 3592   Todiramphus saurophagus      Beach Kingfisher              Krabbkungsfiskare
 3593   Todiramphus recurvirostris   Flat-billed Kingfisher        Samoakungsfiskare
 3594   Todiramphus veneratus        Tahitian Kingfisher           Tahitikungsfiskare
 3595   Todiramphus tutus            Chattering Kingfisher         Vitbrynad kungsfiskare
 3596   Todiramphus ruficollaris   Mangaia Kingfisher                  Mangaiakungsfiskare
 3597   Todiramphus gambieri       Tuamotu Kingfisher                  Tuamotukungsfiskare
 3598   Todiramphus gertrudae      Niau Kingfisher                     Niaukungsfiskare
 3599   Todiramphus godeffroyi     Marquesan Kingfisher                Marquesaskungsfiskare
 3600   Syma torotoro              Yellow-billed Kingfisher            Torotorokungsfiskare
 3601   Syma megarhyncha           Mountain Kingfisher                 Bergskungsfiskare
 3602   Actenoides bougainvillei   Moustached Kingfisher               Mustaschkungsfiskare
 3603   Actenoides concretus       Rufous-collared Kingfisher          Blåhakad kungsfiskare
 3604   Actenoides lindsayi        Spotted Kingfisher                  Fläckkungsfiskare
 3605   Actenoides hombroni        Blue-capped Kingfisher              Blåkronad kungsfiskare
 3606   Actenoides monachus        Green-backed Kingfisher             Grönryggad kungsfiskare
 3607   Actenoides princeps        Scaly Kingfisher                    Brunryggad kungsfiskare
 3608   Caridonax fulgidus         White-rumped Kingfisher             Vitgumpad kungsfiskare
 3609   Tanysiptera hydrocharis    Little Paradise-Kingfisher          Mindre paradiskungsfiskare
 3610   Tanysiptera galatea        Common Paradise-Kingfisher          Paradiskungsfiskare
 3611   Tanysiptera riedelii       Biak Paradise-Kingfisher            Biakparadisflugsnappare
 3612   Tanysiptera carolinae      Numfor Paradise-Kingfisher          Numforparadisflugsnappare
 3613   Tanysiptera ellioti        Kafiau Paradise-Kingfisher          Kafiauparadisflugsnappare
 3614   Tanysiptera nympha         Red-breasted Paradise-Kingfisher    Svartryggad paradiskungsfiskare
 3615   Tanysiptera danae          Brown-headed Paradise-Kingfisher    Brunhuvad paradiskungsfiskare
 3616   Tanysiptera sylvia         Buff-breasted Paradise-Kingfisher   Rödbröstad paradiskungsfiskare
 3617                              Todidae, Todier
 3618   Todus   multicolor         Cuban Tody                          Kubansk todi
 3619   Todus   angustirostris     Narrow-billed Tody                  Smalnäbbad todi
 3620   Todus   todus              Jamaican Tody                       Jamaikatodi
 3621   Todus   mexicanus          Puerto Rican Tody                   Puerto Ricotodi
 3622   Todus   subulatus          Broad-billed Tody                   Brednäbbad todi
 3623                              Momotidae, Motmoter
 3624   Hylomanes momotula         Tody Motmot                         Dvärgmotmot
 3625   Aspatha gularis            Blue-throated Motmot                Blåstrupig motmot
 3626   Electron platyrhynchum     Broad-billed Motmot                 Brednäbbad motmot
 3627   Electron carinatum         Keel-billed Motmot                  Kölnäbbad motmot
 3628   Eumomota superciliosa      Turquoise-browed Motmot             Turkosbrynad motmot
 3629   Baryphthengus ruficapillus   Rufous-capped Motmot         Rosthuvad motmot
 3630   Baryphthengus martii         Rufous Motmot                Rödbrun motmot
 3631   Momotus mexicanus            Russet-crowned Motmot        Rostkronad motmot
