Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
  101   Branta sandvicensis         Hawaiian Goose           Hawaiigås
  102   Branta canadensis           Canada Goose             Kanadagås
  103   Branta leucopsis            Barnacle Goose           Vitkindad gås
  104   Branta bernicla             Brent Goose              Prutgås
  105   Branta ruficollis           Red-breasted Goose       Rödhalsad gås
  106   Cereopsis novaehollandiae   Cape Barren Goose        Hönsgås
  107   Stictonetta naevosa         Freckled Duck            Vattrad and
  108   Cyanochen cyanoptera        Blue-winged Goose        Blåvingad gås
  109   Chloephaga melanoptera      Andean Goose             Andinsk gås
  110   Chloephaga picta            Magellan Goose           Magellangås
  111   Chloephaga hybrida          Kelp Goose               Kelpgås
  112   Chloephaga poliocephala     Ashy-headed Goose        Gråhuvad gås
  113   Chloephaga rubidiceps       Ruddy-headed Goose       Rödhuvad gås
  114   Neochen jubata              Orinoco Goose            Orinocogås
  115   Alopochen aegyptiaca        Egyptian Goose           Nilgås
  116   Tadorna ferruginea          Ruddy Shelduck           Rostand
  117   Tadorna cana                South African Shelduck   Gråhuvad rostand
  118   Tadorna variegata           Paradise Shelduck        Paradisand
  119   Tadorna tadornoides         Australian Shelduck      Australisk gravand
  120   Tadorna tadorna             Common Shelduck          Gravand
  121   Tadorna radjah              Radjah Shelduck          Vithuvad gravand
  122   Tachyeres patachonicus      Flying Steamerduck       Långvingad ångbåtsand
  123   Tachyeres pteneres          Flightless Steamerduck   Magellansk ångbåtsand
  124   Tachyeres brachypterus      Falkland Steamerduck     Kortvingad ångbåtsand
  125   Tachyeres leucocephalus     Chubut Steamerduck       Chubutångbåtsand
  126   Plectropterus gambensis     Spur-winged Goose        Sporrgås
  127   Cairina moschata            Muscovy Duck             Myskand
  128   Cairina scutulata           White-winged Duck        Vitvingad myskand
  129   Sarkidiornis melanotos      Knob-billed Duck         Knöland
  130   Pteronetta hartlaubii       Hartlaub's Duck          Hartlaubs and
  131   Nettapus pulchellus           Green Pygmy-Goose      Grön dvärgås
  132   Nettapus coromandelianus      Cotton Pygmy-Goose     Bomullsdvärgand
  133   Nettapus auritus              African Pygmy-Goose    Afrikansk dvärgand
  134   Callonetta leucophrys         Ringed Teal            Beigekindad and
  135   Aix sponsa                    Wood Duck              Brudand
  136   Aix galericulata              Mandarin Duck          Mandarinand
  137   Chenonetta jubata             Maned Duck             Manand
  138   Amazonetta brasiliensis       Brazilian Duck         Brasiliansk and
  139   Merganetta armata             Torrent Duck           Forsand
  140   Hymenolaimus malacorhynchus   Blue Duck              Blåand
  141   Salvadorina waigiuensis       Salvadori's Duck       Salvadoriand
  142   Anas sparsa                   African Black Duck     Afrikansk svartand
  143   Anas penelope                 Eurasian Wigeon        Bläsand
  144   Anas americana                American Wigeon        Amerikansk bläsand
  145   Anas sibilatrix               Chiloe Wigeon          Chilensk bläsand
  146   Anas falcata                  Falcated Duck          Praktand
  147   Anas strepera                 Gadwall                Snatterand
  148   Anas formosa                  Baikal Teal            Gulkindad kricka
  149   Anas crecca                   Common Teal            Kricka
  150   Anas carolinensis             Green-winged Teal      Amerikansk kricka
  151   Anas flavirostris             Speckled Teal          Gulnäbbad kricka
  152   Anas capensis                 Cape Teal              Kapand
  153   Anas bernieri                 Bernier's Teal         Madagaskarkricka
  154   Anas gibberifrons             Indonesian Grey Teal   Indonesisk gråkricka
  155   Anas gracilis                 Australian Grey Teal   Australisk gråkricka
  156   Anas castanea                 Chestnut Teal          Kastanjekricka
  157   Anas chlorotis                Brown Teal             Brun kricka
  158   Anas aucklandica              Auckland Teal          Aucklandkricka
  159   Anas nesiotis                 Campbell Teal          Campbellkricka
  160   Anas platyrhynchos            Mallard                Gräsand
  161   Anas laysanensis              Laysan Duck            Laysanand
  162   Anas wyvilliana               Hawaiian Duck          Hawaiiand
  163   Anas fulvigula                Mottled Duck           Fläckand
  164   Anas rubripes                 American Black Duck     Svartand
  165   Anas melleri                  Meller's Duck           Mellers and
