                             Struthionidae, Strutsar
Chloephaga rubidiceps       Ruddy-headed Goose       Rödhuvad gås
Neochen jubata              Orinoco Goose            Orinocogås
Alopochen aegyptiaca        Egyptian Goose           Nilgås
Tadorna ferruginea          Ruddy Shelduck           Rostand
Tadorna cana                South African Shelduck   Gråhuvad rostand
Tadorna variegata           Paradise Shelduck        Paradisand
Tadorna tadornoides         Australian Shelduck      Australisk gravand
Tadorna tadorna             Common Shelduck          Gravand
Tadorna radjah              Radjah Shelduck          Vithuvad gravand
Tachyeres patachonicus      Flying Steamerduck       Långvingad ångbåtsand
Tachyeres pteneres          Flightless Steamerduck   Magellansk ångbåtsand
Tachyeres brachypterus      Falkland Steamerduck     Kortvingad ångbåtsand
Tachyeres leucocephalus     Chubut Steamerduck       Chubutångbåtsand
Plectropterus gambensis     Spur-winged Goose        Sporrgås
Cairina moschata            Muscovy Duck             Myskand
Cairina scutulata           White-winged Duck        Vitvingad myskand
Sarkidiornis melanotos      Knob-billed Duck         Knöland
Pteronetta hartlaubii       Hartlaub's Duck          Hartlaubs and
Nettapus pulchellus           Green Pygmy-Goose      Grön dvärgås
Nettapus coromandelianus      Cotton Pygmy-Goose     Bomullsdvärgand
Nettapus auritus              African Pygmy-Goose    Afrikansk dvärgand
Callonetta leucophrys         Ringed Teal            Beigekindad and
Aix sponsa                    Wood Duck              Brudand
Aix galericulata              Mandarin Duck          Mandarinand
Chenonetta jubata             Maned Duck             Manand
Amazonetta brasiliensis       Brazilian Duck         Brasiliansk and
Merganetta armata             Torrent Duck           Forsand
Hymenolaimus malacorhynchus   Blue Duck              Blåand
Salvadorina waigiuensis       Salvadori's Duck       Salvadoriand
Anas sparsa                   African Black Duck     Afrikansk svartand
Anas penelope                 Eurasian Wigeon        Bläsand
Anas americana                American Wigeon        Amerikansk bläsand
Anas sibilatrix               Chiloe Wigeon          Chilensk bläsand
Anas falcata                  Falcated Duck          Praktand
Anas strepera                 Gadwall                Snatterand
Anas formosa                  Baikal Teal            Gulkindad kricka
Anas crecca                   Common Teal            Kricka
Anas carolinensis             Green-winged Teal      Amerikansk kricka
Anas flavirostris             Speckled Teal          Gulnäbbad kricka
Anas capensis                 Cape Teal              Kapand
Anas bernieri                 Bernier's Teal         Madagaskarkricka
Anas gibberifrons             Indonesian Grey Teal   Indonesisk gråkricka
Anas gracilis                 Australian Grey Teal   Australisk gråkricka
Anas castanea                 Chestnut Teal          Kastanjekricka
Anas chlorotis                Brown Teal             Brun kricka
Anas aucklandica              Auckland Teal          Aucklandkricka
Anas nesiotis                 Campbell Teal          Campbellkricka
Anas platyrhynchos            Mallard                Gräsand
Anas laysanensis              Laysan Duck            Laysanand
Anas wyvilliana               Hawaiian Duck          Hawaiiand
Anas fulvigula                Mottled Duck           Fläckand
Anas rubripes                 American Black Duck     Svartand
Anas melleri                  Meller's Duck           Mellers and
Anas undulata                 Yellow-billed Duck      Gulnäbbad and
Anas poecilorhyncha           Spot-billed Duck        Fläcknäbband
Anas superciliosa             Pacific Black Duck      Stillahavssvartand
Anas luzonica                 Philippine Duck         Filippinand
Anas specularis               Bronze-winged Duck      Bronsvingad and
Anas specularioides           Crested Duck            Tofsand
Anas acuta                    Northern Pintail        Stjärtand
Anas eatoni                   Eaton's Pintail         Kerguelenand
Anas georgica                 Yellow-billed Pintail   Gulnäbbad stjärtand
Anas bahamensis               White-cheeked Pintail   Bahamaand
Anas erythrorhyncha           Red-billed Teal         Rödnäbbad and
Anas versicolor               Silver Teal             Silverand
Anas puna                     Puna Teal               Punaand
Anas hottentota               Hottentot Teal          Hottentotkricka
Anas querquedula              Garganey                Årta
Anas discors                  Blue-winged Teal        Blåvingad årta
Anas cyanoptera               Cinnamon Teal           Kanelårta
Anas platalea                 Red Shoveler            Sydamerikansk skedand
Anas smithii                  Cape Shoveler           Kapskedand
Anas rhynchotis               Australian Shoveler     Australisk skedand
Anas clypeata                 Northern Shoveler       Skedand
Malacorhynchus membranaceus   Pink-eared Duck         Zebraand
Marmaronetta angustirostris   Marbled Duck            Marmorand
Netta rufina                  Red-crested Pochard     Rödhuvad dykand
Netta erythrophthalma         Southern Pochard        Sydlig brunand
Netta peposaca                Rosybill                Peposacaand
Aythya valisineria            Canvasback              Svartnäbbad brunand
Aythya ferina                 Common Pochard          Brunand
Aythya americana              Redhead                 Amerikansk brunand
Aythya collaris               Ring-necked Duck        Ringand
Aythya australis              Hardhead                Australisk dykand
Aythya baeri                Baer's Pochard           Amurdykand
Aythya nyroca               Ferruginous Duck         Vitögd dykand
Aythya innotata             Madagascar Pochard       Madagaskarbrunand
Aythya fuligula             Tufted Duck              Vigg
Aythya novaeseelandiae      New Zealand Scaup        Nya Zeelandbergand
Aythya marila               Greater Scaup            Bergand
Aythya affinis              Lesser Scaup             Mindre bergand
Somateria mollissima        Common Eider             Ejder
Somateria spectabilis       King Eider               Praktejder
Somateria fischeri          Spectacled Eider         Glasögonejder
Polysticta stelleri         Steller's Eider          Alförrädare
Histrionicus histrionicus   Harlequin Duck           Strömand
Clangula hyemalis           Long-tailed Duck         Alfågel
Melanitta nigra             Common Scoter            Sjöorre
Melanitta americana         American Scoter          Amerikansk sjöorre
Melanitta perspicillata     Surf Scoter              Vitnackad svärta
Melanitta fusca             Velvet Scoter            Svärta
Melanitta deglandi          White-winged Scoter      Knölsvärta
Bucephala albeola           Bufflehead               Buffelhuvud
Bucephala islandica         Barrow's Goldeneye       Islandsknipa
Bucephala clangula          Common Goldeneye         Knipa
Mergus cucullatus           Hooded Merganser         Kamskrake
Mergus albellus             Smew                     Salskrake
Mergus octosetaceus         Brazilian Merganser      Amazonskrake
Mergus serrator             Red-breasted Merganser   Småskrake
Mergus squamatus            Chinese Merganser        Amurskrake
Mergus merganser            Goosander                Storskrake
Heteronetta atricapilla     Black-headed Duck        Svarthuvad and
Nomonyx dominica            Masked Duck              Vitvingad kopparand
Oxyura jamaicensis          Ruddy Duck               Amerikansk kopparand
Oxyura ferruginea           Peruvian Ruddy Duck      Perukopparand
Oxyura leucocephala         White-headed Duck        Kopparand
Oxyura maccoa               Maccoa Duck              Afrikansk kopparand
Oxyura vittata             Argentine Blue-bill           Argentinsk kopparand
Oxyura australis           Blue-billed Duck              Australisk kopparand
Biziura lobata             Musk Duck                     Bisamand
                           Megapodiidae, Storfotshöns
Megapodius freycinet       Dusky Scrubfowl               Australisk storfothöna
Megapodius geelvinkianus   Biak Scrubfowl                Geelvinkstorfothöna
Megapodius nicobariensis   Nicobar Scrubfowl             Nikobarstorfothöna
Megapodius cumingii        Philippine Scrubfowl          Tabonstorfothöna
Megapodius bernsteinii     Sula Scrubfowl                Sulastorfothöna
Megapodius decollatus      New Guinea Scrubfowl          Papuansk storfothöna
Megapodius reinwardt       Orange-footed Scrubfowl       Orangefotad storfothöna
Megapodius tenimberensis   Tanimbar Scrubfowl            Tanimbarstorfothöna
Megapodius forstenii       Forsten's Scrubfowl           Forstens storfothöna
Megapodius eremita         Melanesian Scrubfowl          Melanesisk storfothöna
Megapodius layardi         Vanuatu Scrubfowl             Vanuatustorfothöna
Megapodius laperouse       Micronesian Scrubfowl         Palaustorfothöna
Megapodius pritchardii     Niuafoou Scrubfowl            Vulkanstorfotshöna
Eulipoa wallacei           Moluccan Scrubfowl            Moluckstorfothöna
Leipoa ocellata            Malleefowl                    Malleehöna
Alectura lathami           Australian Brush-Turkey       Buskhöna
Talegalla cuvieri          Red-billed Brush-Turkey       Talegallahöna
Talegalla fuscirostris     Black-billed Brush-Turkey     Svartnäbbad buskhöna
Talegalla jobiensis        Brown-collared Brush-Turkey   Brunhalsad buskhöna
Aepypodius arfakianus      Wattled Brush-Turkey          Kambuskhöna
Aepypodius bruijnii        Waigeo Brush-Turkey           Waigeobuskhöna
Macrocephalon maleo        Maleo                         Maleohöna
                           Cracidae, Hockohöns
Ortalis   vetula           Plain Chachalaca              Nordlig chachalaca
Ortalis   cinereiceps      Grey-headed Chachalaca        Gråhuvad chachalaca
Ortalis   garrula          Chestnut-winged Chachalaca    Brunvingad chachalaca
Ortalis   ruficauda        Rufous-vented Chachalaca      Rostgumpad chachalaca
Ortalis   erythroptera     Rufous-headed Chachalaca      Rosthuvad chachalaca
Ortalis   wagleri          Rufous-bellied Chachalac      Rostbukad chachalaca
Ortalis poliocephala     West Mexican Chachalaca     Västmexikansk chachalaca
Ortalis canicollis       Chaco Chachalaca            Gråhalsa chachalaca
Ortalis leucogastra      White-bellied Chachalaca    Vitbukad chachalaca
Ortalis motmot           Little Chachalaca           Motmotchachalaca
Ortalis superciliaris    Buff-browed Chachalaca      Beigebrynad chachalaca
Ortalis guttata          Speckled Chachalaca         Spräcklig chachalaca
Penelope argyrotis       Band-tailed Guan            Bandstjärtad guan
Penelope barbata         Bearded Guan                Skägguan
Penelope montagnii       Andean Guan                 Andinsk guan
Penelope ortoni          Baudó Guan                  Baudóguan
Penelope marail          Marail Guan                 Marailguan
Penelope superciliaris   Rusty-margined Guan         Blåkindad guan
Penelope dabbenei        Red-faced Guan              Rödkindad guan
Penelope obscura         Dusky-legged Guan           Mörkbent guan
Penelope jacquacu        Spix's Guan                 Spixguan
Penelope albipennis      White-winged Guan           Vitvingad guan
Penelope perspicax       Cauca Guan                  Caucaguan
